Quarter,Type,Number
1/1/20,Battery Electric,4
1/1/20,Fossil Fuel,2501
1/1/20,Hybrid Electric,71
1/1/20,Plug-in Hybrid,3
1/1/21,Battery Electric,8
1/1/21,Fossil Fuel,2553
1/1/21,Hybrid Electric,88
1/1/21,Plug-in Hybrid,5
1/1/22,Battery Electric,14
1/1/22,Fossil Fuel,2681
1/1/22,Hybrid Electric,102
1/1/22,Plug-in Hybrid,11
1/1/23,Battery Electric,26
1/1/23,Fossil Fuel,2715
1/1/23,Hybrid Electric,117
1/1/23,Plug-in Hybrid,13
1/1/24,Battery Electric,41
1/1/24,Fossil Fuel,2896
1/1/24,Hybrid Electric,146
1/1/24,Plug-in Hybrid,23
1/1/25,Battery Electric,69
1/1/25,Fossil Fuel,2795
1/1/25,Hybrid Electric,188
1/1/25,Plug-in Hybrid,30
1/1/26,Battery Electric,83
1/1/26,Fossil Fuel,2682
1/1/26,Hybrid Electric,223
1/1/26,Plug-in Hybrid,46
10/1/20,Battery Electric,6
10/1/20,Fossil Fuel,2523
10/1/20,Hybrid Electric,81
10/1/20,Plug-in Hybrid,5
10/1/21,Battery Electric,10
10/1/21,Fossil Fuel,2563
10/1/21,Hybrid Electric,94
10/1/21,Plug-in Hybrid,7
10/1/22,Battery Electric,18
10/1/22,Fossil Fuel,2686
10/1/22,Hybrid Electric,104
10/1/22,Plug-in Hybrid,12
10/1/23,Battery Electric,32
10/1/23,Fossil Fuel,2870
10/1/23,Hybrid Electric,138
10/1/23,Plug-in Hybrid,16
10/1/24,Battery Electric,62
10/1/24,Fossil Fuel,2924
10/1/24,Hybrid Electric,172
10/1/24,Plug-in Hybrid,28
10/1/25,Battery Electric,76
10/1/25,Fossil Fuel,2744
10/1/25,Hybrid Electric,215
10/1/25,Plug-in Hybrid,43
4/1/20,Battery Electric,4
4/1/20,Fossil Fuel,2481
4/1/20,Hybrid Electric,76
4/1/20,Plug-in Hybrid,3
4/1/21,Battery Electric,8
4/1/21,Fossil Fuel,2502
4/1/21,Hybrid Electric,84
4/1/21,Plug-in Hybrid,5
4/1/22,Battery Electric,14
4/1/22,Fossil Fuel,2617
4/1/22,Hybrid Electric,99
4/1/22,Plug-in Hybrid,11
4/1/23,Battery Electric,27
4/1/23,Fossil Fuel,2667
4/1/23,Hybrid Electric,119
4/1/23,Plug-in Hybrid,13
4/1/24,Battery Electric,52
4/1/24,Fossil Fuel,2887
4/1/24,Hybrid Electric,154
4/1/24,Plug-in Hybrid,21
4/1/25,Battery Electric,68
4/1/25,Fossil Fuel,2830
4/1/25,Hybrid Electric,203
4/1/25,Plug-in Hybrid,33
7/1/20,Battery Electric,4
7/1/20,Fossil Fuel,2519
7/1/20,Hybrid Electric,79
7/1/20,Plug-in Hybrid,3
7/1/21,Battery Electric,10
7/1/21,Fossil Fuel,2626
7/1/21,Hybrid Electric,97
7/1/21,Plug-in Hybrid,7
7/1/22,Battery Electric,18
7/1/22,Fossil Fuel,2746
7/1/22,Hybrid Electric,106
7/1/22,Plug-in Hybrid,13
7/1/23,Battery Electric,30
7/1/23,Fossil Fuel,2803
7/1/23,Hybrid Electric,134
7/1/23,Plug-in Hybrid,16
7/1/24,Battery Electric,56
7/1/24,Fossil Fuel,2926
7/1/24,Hybrid Electric,158
7/1/24,Plug-in Hybrid,24
7/1/25,Battery Electric,74
7/1/25,Fossil Fuel,2911
7/1/25,Hybrid Electric,213
7/1/25,Plug-in Hybrid,40
