Year,Sector,Electric_MWh
2013,Commercial & Industrial,5497.0
2013,Residential & Low-Income,12743.0
2014,Commercial & Industrial,4740.0
2014,Residential & Low-Income,11795.0
2015,Commercial & Industrial,5070.0
2015,Residential & Low-Income,14505.0
2016,Commercial & Industrial,6958.0
2016,Residential & Low-Income,16760.0
2017,Commercial & Industrial,6803.0
2017,Residential & Low-Income,16531.0
2018,Commercial & Industrial,6754.0
2018,Residential & Low-Income,17117.0
2019,Commercial & Industrial,6627.0
2019,Residential & Low-Income,16433.0
2020,Commercial & Industrial,6285.0
2020,Residential & Low-Income,19602.0
2021,Commercial & Industrial,6676.0
2021,Residential & Low-Income,20806.0
2022,Commercial & Industrial,7194.0
2022,Residential & Low-Income,20523.0
2023,Commercial & Industrial,6543.0
2023,Residential & Low-Income,19921.0
2024,Commercial & Industrial,6053.0
2024,Residential & Low-Income,18585.0
