account_num,account_fuel,facility_name,facility_category,facility_subcategory,provider,fiscal_year,kbtupersqft,usage_end,use,mmbtu,mtco2e,cost,area,include_in_baseline
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2007,1.1157,2007-01-29,327,1.1157,0.1503,40,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2007,1.1396,2007-03-01,334,1.1396,0.1535,40.51,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2007,1.1021,2007-04-02,323,1.1021,0.1485,37.51,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2007,0.9724,2007-05-02,285,0.9724,0.131,33.79,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2007,1.1089,2007-06-01,325,1.1089,0.1494,37.75,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,2.327,2007-07-02,682,2.327,0.3134,73.16,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,3.1254,2007-08-01,916,3.1254,0.421,96.37,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,2.6272,2007-08-30,770,2.6272,0.3539,81.9,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.2624,2007-10-01,370,1.2624,0.1701,42.24,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.068,2007-10-31,313,1.068,0.1439,36.57,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.1055,2007-11-30,324,1.1055,0.1489,37.66,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.085,2008-01-01,318,1.085,0.132,37.31,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.085,2008-01-30,318,1.085,0.132,40.57,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.1669,2008-03-03,342,1.1669,0.1419,43.21,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.068,2008-03-31,313,1.068,0.1299,40.01,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,0.9758,2008-05-01,286,0.9758,0.1187,37.03,1000,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2008,1.1498,2008-06-02,337,1.1498,0.1399,42.66,1000,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2005-09-29,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2005-10-28,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2005-11-30,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-01-04,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-01-31,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-03-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-04-03,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-05-04,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-06-05,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2006,0,2006-06-30,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2006-08-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2006-08-29,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2006-09-29,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2006-10-30,1,0.0034,0.0004,5.6,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2006-11-29,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2006-12-27,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2007-01-29,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2007-03-01,8,0.0273,0.0037,6.06,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2007-04-02,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2007-05-02,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2007,0,2007-06-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2007-07-02,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2007-08-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2007-08-30,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2007-10-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2007-10-31,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2007-11-30,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2008-01-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2008-01-30,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2008-03-02,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2008-03-31,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2008-05-01,0,0,0,5.53,0,1
74000667274,Electric,Street Lights,Street/Traffic Lights,Street/Traffic Lights,Eversource (NSTAR),2008,0,2008-06-02,0,0,0,5.53,0,1
74001053052,Electric,Beach Office,Building,Indoor Recreation,Eversource (NSTAR),2006,0.6824,2005-09-29,200,0.6824,0.1106,20.06,1000,1
